"","enzyme","temp","pH","activity","lnactivity","revK"
"ph55_5_6","APase",5,5.5,17.8777796319915,2.88355858037823,0.00359518245550962
"ph45_35_1","APase",35,4.5,28.7650461455688,3.35916097454024,0.00324517280545189
"ph45_35_2","APase",35,4.5,34.0227644307874,3.52702984265484,0.00324517280545189
"ph45_35_3","APase",35,4.5,29.6177800790094,3.3883748593399,0.00324517280545189
"ph45_35_4","APase",35,4.5,31.2694754721517,3.44264239717338,0.00324517280545189
"ph45_35_5","APase",35,4.5,27.130682533892,3.30066528425678,0.00324517280545189
"ph45_35_6","APase",35,4.5,35.6174805274004,3.57283654339472,0.00324517280545189
"ph45_25_1","APase",25,4.5,30.0668945323272,3.40342471705226,0.00335401643468053
"ph45_25_2","APase",25,4.5,15.1378268861219,2.71719670310497,0.00335401643468053
"ph45_25_3","APase",25,4.5,25.9645469230542,3.25673202761792,0.00335401643468053
"ph45_25_4","APase",25,4.5,28.4126496684563,3.34683445686233,0.00335401643468053
"ph45_25_5","APase",25,4.5,25.4205382640035,3.23555744036024,0.00335401643468053
"ph45_25_6","APase",25,4.5,27.1993942708069,3.30319470359835,0.00335401643468053
"ph45_15_1","APase",15,4.5,23.2638583985694,3.14690101461359,0.00347041471455839
"ph45_15_2","APase",15,4.5,23.6594621786018,3.1637631270409,0.00347041471455839
"ph45_15_3","APase",15,4.5,23.0285677789039,3.13673552253288,0.00347041471455839
"ph45_15_4","APase",15,4.5,25.1549762734772,3.22505574072984,0.00347041471455839
"ph45_15_5","APase",15,4.5,19.8186713464628,2.98662449065396,0.00347041471455839
"ph45_15_6","APase",15,4.5,18.8745155943352,2.93781263092949,0.00347041471455839
"ph45_5_1","APase",5,4.5,13.5116740729589,2.60355405791195,0.00359518245550962
"ph45_5_2","APase",5,4.5,14.4520744794897,2.67083796684876,0.00359518245550962
"ph45_5_3","APase",5,4.5,14.9365072943474,2.70380837020117,0.00359518245550962
"ph45_5_4","APase",5,4.5,14.6343790162535,2.68337348782944,0.00359518245550962
"ph45_5_5","APase",5,4.5,13.1398557093783,2.57565003197473,0.00359518245550962
"ph45_5_6","APase",5,4.5,15.051586359131,2.71148339156239,0.00359518245550962
"ph35_35_1","APase",35,3.5,19.532758631564,2.97209298588975,0.00324517280545189
"ph35_35_2","APase",35,3.5,24.4396604124524,3.19620723946269,0.00324517280545189
"ph35_35_3","APase",35,3.5,25.0602201232311,3.22128173327735,0.00324517280545189
"ph35_35_4","APase",35,3.5,27.634656834316,3.31907066741605,0.00324517280545189
"ph35_35_5","APase",35,3.5,26.9947133235894,3.29564104400243,0.00324517280545189
"ph35_35_6","APase",35,3.5,28.6981920860792,3.356834127265,0.00324517280545189
"ph35_25_1","APase",25,3.5,16.194009342687,2.7846413801865,0.00335401643468053
"ph35_25_2","APase",25,3.5,19.2999469262174,2.96010234597014,0.00335401643468053
"ph35_25_3","APase",25,3.5,20.029416218606,2.99720200390132,0.00335401643468053
"ph35_25_4","APase",25,3.5,24.6890583007756,3.20636016171337,0.00335401643468053
"ph35_25_5","APase",25,3.5,18.7792254102441,2.93275122746859,0.00335401643468053
"ph35_25_6","APase",25,3.5,11.3964158659887,2.43329890824683,0.00335401643468053
"ph35_15_1","APase",15,3.5,18.3370287627277,2.90892244512814,0.00347041471455839
"ph35_15_2","APase",15,3.5,15.8229111060408,2.76145895969925,0.00347041471455839
"ph35_15_3","APase",15,3.5,14.7817700978957,2.69339467140016,0.00347041471455839
"ph35_15_4","APase",15,3.5,15.7003004893876,2.75367985162255,0.00347041471455839
"ph35_15_5","APase",15,3.5,17.000918579522,2.83326737668595,0.00347041471455839
"ph35_15_6","APase",15,3.5,14.5324990330067,2.67638745405331,0.00347041471455839
"ph35_5_1","APase",5,3.5,9.35962253922417,2.23640496267038,0.00359518245550962
"ph35_5_2","APase",5,3.5,11.327875418675,2.42726653924568,0.00359518245550962
"ph35_5_3","APase",5,3.5,10.149242536501,2.31739907575735,0.00359518245550962
"ph35_5_4","APase",5,3.5,10.085588417937,2.31110751555807,0.00359518245550962
"ph35_5_5","APase",5,3.5,10.7176338178062,2.37189040532818,0.00359518245550962
"ph35_5_6","APase",5,3.5,11.7701456539485,2.46556629621248,0.00359518245550962
